IRI_KEY,Month,Region,Low_Income,High_Income,Price.Campbell,Price.PL,Price.Progresso,Sales.Progresso,Category_Sales
258109,8,East,0,0,1.621,0.971,1.902,624.292,1254.7391
533535,12,South,0,0,1.609,1.156,1.695,501.935,3111.7694
284850,9,East,1,0,1.199,0.848,1.269,717.029,3343.7667
271290,10,West,0,0,1.197,0.863,1.199,1580.16,6147.1944
204033,5,South,0,1,1.599,1.361,1.897,1695.508,5428.6444
291792,10,West,0,1,1.315,0.988,1.549,1549.399,5500.613
249390,10,West,0,1,1.975,1.431,1.945,569.175,1319.9258
200171,7,MidWest,0,1,1.275,1.053,1.603,689.981,6263.7376
233368,1,East,1,0,1.064,1.054,1.169,2725.598,10968.7394
272291,9,East,0,0,1.254,1.248,1.536,2925.048,11459.6246
226158,10,South,0,1,1.201,0.975,1.801,831.384,5199.1347
258898,1,West,1,0,1.175,0.912,1.053,4934.352,9597.7611
266821,11,MidWest,1,0,1.532,1.036,1.385,201.909,1465.2241
246859,9,West,0,0,1.121,0.843,2.093,864.912,9232.8251
266239,6,South,0,0,1.798,1.221,2.28,72.738,754.2792
650536,9,MidWest,0,0,1.089,1.034,1.324,2875.299,20694.8329
293843,1,MidWest,0,1,1.442,1.239,1.023,4274.376,8304.9062
288870,11,West,0,0,1.066,0.94,1.612,1315.925,11060.245
656535,8,South,0,0,1.592,0.961,1.488,548.651,2829.1466
687960,4,South,1,0,1.268,0.97,1.686,11.875,580.285
249226,11,West,0,1,1.138,1.011,1.419,759.507,7093.6597
